NPI,Name,City,State,Zip,MAC
1437132529,BIN WU,LANCASTER,MA,01523,NGS
1346535481,JACOB MONG,BOISE,ID,83706,Noridian
1922061969,MATTHEW CHANG,COLORADO SPRINGS,CO,80907,Novitas
1891788436,RANDALL GOODMAN,SANTA MARIA,CA,93454,Noridian
1326075680,BRADLEY KWAPISZESKI,SHAWNEE MISSION,KS,66204,WPS
1245405240,AUGUSTUS STERN,HAGERSTOWN,MD,21740,Novitas
1790888006,SIDNEY CHANG,SAN DIEGO,CA,92103,Noridian
1982099131,CAPRITTA ROBERTS,FERNANDINA BEACH,FL,32034,FCSO
1750517710,JAMES STACKHOUSE,FERNANDINA,FL,32034,FCSO
1154709970,VINCENT VENINCASA,EDMOND,OK,73034,Novitas
1689687147,WILLIAM WILEY,CLEVELAND,OH,44115,CGS
1861758443,KINGSLEY OKAFOR,DENVER,CO,80210,Novitas
1558590034,KRISTIN BIGGERSTAFF,OVERLAND PARK,KS,66204,WPS
1457746612,LINDSEY MCDANIEL,KANSAS CITY,MO,64154,WPS
1164797270,JASON RUPP,OGDEN,UT,84403,Noridian
1396756847,MICHAEL PAVELOFF,BAKERSFIELD,CA,93389,Noridian
1831175629,GREGORY CHRISTIANSEN,SALT LAKE CITY,UT,84121,Noridian
1043253347,PABLO ARREGUI,CHICO,CA,95926,Noridian
1285746578,ANDY LEE,DUNCANVILLE,TX,75137,Novitas
1528015013,ARA APRAHAMIAN,BLOOMINGTON,IL,61701,NGS
1205864519,AMY MILLER,DAYTON,OH,45440,CGS
1619462330,AYESHA BADAR,MAYWOOD,IL,60153,NGS
1275119661,EVAN DACKOWSKI,KATY,TX,77449,Novitas
1417103318,JIGNA JOSHI,BLOOMINGDALE,IL,60108,NGS
1578774303,MEENAKSHI CHAKU,MAYWOOD,IL,60153,NGS
1477080257,LAUREN LIM,NEW ORLEANS,LA,70125,Novitas
1700808904,LEON PARTAMIAN,VENTURA,CA,93003,Noridian
1528079878,RAJESH RANGARAJ,MARIETTA,GA,30060,Palmetto
1700879343,BRIAN CHANG,COTTONWOOD,AZ,86326,Noridian
1811057821,MOHAMMAD NEAL,ANAHEIM,CA,92801,Noridian
1659548543,DANA WALLACE,SANDY SPRINGS,GA,30328,Palmetto
1922035229,GAURANG TRIVEDI,MOUNT KISCO,NY,10549,NGS
1346426293,ANIL SHIVARAM,CLAREMONT,CA,91711,Noridian
1427496264,ERIC AREITER,ALISO VIEJO,CA,92656,Noridian
1124229810,NATHAN RADCLIFFE,NEW YORK,NY,10021,NGS
1982696134,KEVIN SKELSEY,LEES SUMMIT,MO,64086,WPS
1528380441,GAGAN SAWHNEY,ATLANTA,GA,30342,Palmetto
1487840047,PARUL KHATOR,ATLANTA,GA,30324,Palmetto
1366271736,IBRAHIM QOZAT,JACKSONVILLE,FL,32224,FCSO
1295992550,SYRIL DORAIRAJ,JACKSONVILLE,FL,32224,FCSO
1811267255,REBECCA SHIELDS,NEW YORK,NY,10065,NGS
1720370067,BLAKE WILLIAMSON,BATON ROUGE,LA,70806,Novitas
1750812194,CLAYTON PATRICK,JACKSON,MS,39216,Novitas
1942400262,VINAY GUTTI,TAVARES,FL,32778,FCSO
1043252273,SETH POTASH,WHITE PLAINS,NY,10601,NGS
1659330272,JAMES LODEN,GOODLETTSVILLE,TN,37072,Palmetto
1376787630,KATIE MILLS,GOODLETTSVILLE,TN,37072,Palmetto
1972037018,LOGAN VANDER WOUDE,VERO BEACH,FL,32960,FCSO
1952894966,CAMERON CLARKE,DURANGO,CO,81301,Novitas
1386602159,RICHARD CAPE,DYERSBURG,TN,38024,Palmetto
1205811023,JOHN SCHOFIELD,SANTA MONICA,CA,90404,Noridian
1942593702,XUAN LE-NGUYEN,PALM DESERT,CA,92211,Noridian
1457361560,CHRISTOPHER STURBAUM,SPOKANE VALLEY,WA,99216,Noridian
