,NPI,ZIP
0,1003017468,30909
7,1003893454,61201
8,1003893454,61282
9,1003899436,47304
16,1013259167,97504
17,1013449024,85016
22,1023015476,24018
29,1023079522,07960
36,1023336633,76244
37,1023389871,10034
38,1023389871,10452
40,1023541729,02114
43,1033114335,80134
49,1033242581,28387
50,1033259114,74820
54,1033420260,12208
59,1033522529,77707
62,1043221187,48334
63,1043230584,57105
64,1043245954,07481
65,1043252273,10601
66,1043253347,95926
72,1043538796,71106
79,1053362574,18503
85,1053759019,55125
86,1053775346,34996
87,1053791715,57108
90,1063401362,21015
93,1063430023,53405
95,1063466324,02879
98,1063638682,92103
99,1063673408,07450
103,1073508164,77025
104,1073519989,57108
106,1073582409,73013
110,1073774774,19610
111,1073823258,89502
112,1073823258,89511
120,1083744775,91361
123,1083806541,95661
124,1083806541,76018
126,1083857015,28387
127,1083935068,55433
128,1083972913,24016
129,1093008302,72756
130,1093209777,33308
137,1093733156,07675
143,1093915837,07103
144,1104141159,67212
148,1104860691,93003
152,1114128519,98133
154,1114156841,02842
155,1114188042,15825
157,1114489721,19007
161,1114946555,98104
163,1114991676,93401
164,1114996576,73104
165,1114996576,73120
170,1124229810,10021
172,1124314067,75090
175,1124434063,21229
176,1124464664,57108
177,1124464664,68137
182,1134198096,19046
183,1134200629,95945
184,1134375918,89074
186,1134548209,99204
187,1134549967,33904
188,1144203779,31021
189,1144203779,27292
190,1144224627,31088
192,1144255324,37072
193,1144261876,33928
194,1144665878,60126
195,1144665878,48084
196,1144756875,35805
200,1154362077,64114
207,1154683811,79413
208,1154709970,73034
209,1164187019,30912
210,1164187019,52242
214,1164797270,63110
215,1164809851,91786
216,1164953295,10461
217,1164953295,60612
218,1174054860,74133
224,1174788699,07728
225,1174935910,68137
226,1174935910,45242
230,1184068496,94305
231,1184068496,94303
232,1184072209,38506
237,1184949687,30060
239,1194093971,93940
240,1194164186,10021
241,1194757328,75203
242,1194775932,20707
245,1194861674,75231
250,1194975177,33136
251,1194975177,10017
252,1205038262,07724
253,1205038262,07740
254,1205065646,19380
256,1205811023,90404
259,1205824448,59715
260,1205824448,59718
261,1205837010,85635
262,1205889052,75231
264,1205987831,65101
265,1205990207,78028
268,1215172994,07306
270,1215236401,92117
277,1215921275,32935
281,1225019904,85710
285,1225092315,19027
288,1225276678,02906
292,1225304918,59718
293,1225304918,84132
294,1225326580,90013
295,1225391725,91786
303,1235220799,94705
304,1235333634,29316
309,1245226463,65616
316,1245371129,08055
317,1245405240,21740
322,1245735984,92562
323,1255314597,85259
328,1255441952,84117
338,1265427918,55305
339,1265427918,55404
343,1265570840,30060
348,1275508160,84132
350,1275557613,38834
356,1275995714,55431
357,1275995714,59801
360,1285049940,57701
361,1285049940,92354
365,1285622951,64133
369,1285746578,75137
371,1285782847,90033
376,1285990671,42104
382,1295784916,80907
383,1295784916,81001
385,1295823755,95382
389,1295963999,72703
390,1295963999,72756
391,1295992550,32224
394,1306026281,92653
397,1306124599,58078
398,1306124599,57108
399,1306163589,93720
400,1306163589,90033
404,1306837562,34761
409,1306957329,90210
411,1316108038,95823
414,1316357825,33136
421,1316984255,95816
422,1316984255,37909
425,1326075680,66204
427,1326146630,94611
431,1326545062,57105
436,1336161157,10028
439,1336309723,13088
441,1336348820,66204
443,1336677913,29680
444,1346206224,98004
446,1346243714,80525
447,1346274024,94612
448,1346346491,33134
449,1346346491,33141
452,1346426293,91711
453,1346462637,07065
454,1346530441,92354
455,1346530441,64154
456,1346535481,83706
459,1346694163,85704
462,1356340509,98133
464,1356390546,66213
465,1356395404,33612
471,1366422917,92545
472,1366425704,18702
478,1366533846,91316
482,1366700460,57701
485,1366821688,84132
486,1366850331,33136
487,1366875213,89121
491,1376546226,75701
494,1376701391,36301
495,1376787630,37072
499,1376980318,40508
500,1376980318,40509
501,1386140556,75231
502,1386601318,73112
503,1386602159,38024
506,1386634400,01301
507,1386643104,44703
509,1386693604,56201
511,1386762128,78503
512,1386816601,20774
513,1386838563,77566
514,1386871838,35209
518,1396125589,45238
519,1396702783,07675
522,1396743555,63131
526,1396756847,93109
529,1407161771,66442
531,1407820194,30060
533,1407846330,32608
537,1407957160,37604
543,1417147935,34461
548,1417916586,83706
556,1427044072,43220
559,1437124161,85716
561,1437155041,07876
573,1437385077,33907
574,1437389822,92653
577,1447286190,33410
578,1447286190,33458
581,1447510615,90033
582,1447510615,77598
586,1457348930,02780
587,1457353435,54729
590,1457361560,99216
591,1457373466,74344
592,1457401259,80210
596,1457586299,20852
597,1457586299,10003
601,1457612830,85054
602,1457612830,77030
604,1457671307,30030
605,1457746612,64154
606,1457746612,65201
612,1467433037,91436
617,1467494203,93277
621,1467787226,55431
622,1467872390,55422
623,1477080257,48152
625,1477558195,89703
