,State,MAC
0,AL,Palmetto
1,AK,Noridian
2,AZ,Noridian
3,AR,Novitas
4,CA,Noridian
5,CO,Novitas
6,CT,NGS
7,DE,Novitas
8,DC,Novitas
9,FL,FCSO
10,GA,Palmetto
11,HI,Noridian
12,ID,Noridian
13,IL,NGS
14,IN,WPS
15,IA,WPS
16,KS,WPS
17,KY,CGS
18,LA,Novitas
19,ME,NGS
20,MD,Novitas
21,MA,NGS
22,MI,WPS
23,MN,NGS
24,MS,Novitas
25,MO,WPS
26,MT,Noridian
27,NE,WPS
28,NV,Noridian
29,NH,NGS
30,NJ,Novitas
31,NM,Novitas
32,NY,NGS
33,NC,Palmetto
34,ND,Noridian
35,OH,CGS
36,OK,Novitas
37,OR,Noridian
38,PA,Novitas
39,RI,NGS
40,SC,Palmetto
41,SD,Noridian
42,TN,Palmetto
43,TX,Novitas
44,UT,Noridian
45,VT,NGS
46,VA,Palmetto
47,WA,Noridian
48,WV,Palmetto
49,WI,NGS
50,WY,Noridian
