NPI,Name,City,State,Zip,MAC
1639137524,MICHAEL PRO,BALA CYNWYD,PA,19004,Novitas
1710391479,ERIKA DOSS,LOS ANGELES,CA,90033,Noridian
1285782847,R PHILIP DOSS,LOS ANGELES,CA,90033,Noridian
1932101037,FRANK COTTER,ROANOKE,VA,24008,Palmetto
1083972913,TAD SCHOEDEL,ROANOKE,VA,24016,Palmetto
1023015476,WILLIAM THOMPSON,ROANOKE,VA,24018,Palmetto
1386816601,ERICA BERNFELD,UPPER MARLBORO,MD,20774,Novitas
1063401362,LISA FEULNER,BEL AIR,MD,21015,Novitas
1598735813,STEPHEN HWANG,SCOTTSDALE,AZ,85251,Noridian
1467433037,BRAD ELKINS,ENCINO,CA,91436,Noridian
1528080694,DANA TANNENBAUM,NORTH HOLLYWOOD,CA,91602,Noridian
1780069294,JUSTIN DREDGE,ENCINO,CA,91316,Noridian
1427153022,MITCHELL SHULTZ,NORTHRIDGE,CA,91325,Noridian
1366533846,GANESHA KANDAVEL,ENCINO,CA,91316,Noridian
1982054433,BRIAN SHAFER,PLYMOUTH MEETING,PA,19462,Novitas
1134198096,MARK PYFER,JENKINTOWN,PA,19046,Novitas
1649215245,RACHEL NIKNAM,PHILADELPHIA,PA,19106,Novitas
1730671389,NIKITHA REDDY,WEST HOLLYWOOD,CA,90048,Noridian
1871853077,BAC NGUYEN,HOUSTON,TX,77027,Novitas
1487073920,JOHN MICHELETTI,HOUSTON,TX,77027,Novitas
1316108038,GABRIEL JACOB,SACRAMENTO,CA,95823,Noridian
1083806541,MUJAHID HINES,ROSEVILLE,CA,95661,Noridian
1255314597,DHARMENDRA PATEL,SCOTTSDALE,AZ,85259,Noridian
1174788699,RAJEN DESAI,FREEHOLD,NJ,07728,Novitas
1962631150,JONATHAN ZOGHBY,OXFORD,MS,38655,Novitas
1205889052,ARVIND NEELAKANTAN,DALLAS,TX,75231,Novitas
1487905634,AZRA IDRIZOVIC,DALLAS,TX,75231,Novitas
1194861674,DAVINDER GROVER,DALLAS,TX,75373,Novitas
1194757328,LINDA BURK,DALLAS,TX,75203,Novitas
1275995714,JEFFERSON BERRYMAN,MISSOULA,MT,59801,Noridian
1437562469,ROBERT SHARPE,SOUTHERN PINES,NC,28387,Palmetto
1033242581,TARRA MILLENDER,SOUTHERN PINES,NC,28387,Palmetto
1083857015,WINSTON GARRIS,SOUTHERN PINES,NC,28387,Palmetto
1740433945,JACOB BRUBAKER,SACRAMENTO,CA,95815,Noridian
1497135156,XIONGFEI LIU,SACRAMENTO,CA,95815,Noridian
1851328132,CONSTANCE OKEKE,NORFOLK,VA,23502,Palmetto
1992718373,JOSEPH KAVANAGH,SAN ANTONIO,TX,78292,Novitas
1508070525,ODAY ALSHEIKH,SAN ANTONIO,TX,78212,Novitas
1306124599,MICHAEL GREENWOOD,SIOUX FALLS,SD,57108,Noridian
1144203779,THOMAS HAWKINS,DUBLIN,GA,31021,Palmetto
1275544884,GANG HU,HURST,TX,76054,Novitas
1033139688,SCOTT CHERNE,EUGENE,OR,97401,Noridian
1376546226,ADAM DOSSEY,TYLER,TX,75701,Novitas
1639160112,JASON BACHARACH,PETALUMA,CA,94954,Noridian
1528264793,BRIAN HUNTER,TUCSON,AZ,85704,Noridian
1346694163,MICHAEL HENRY,TUCSON,AZ,85704,Noridian
